id	height	weight	age	heartRate	passed
553	69	151	23	62	n
554	69	197	39	81	y
555	71	173	37	100	y
556	71	163	37	65	n
557	70	184	37	80	y
558	69	172	53	79	n
559	67	161	42	69	n
560	66	179	38	91	y
561	69	205	35	82	y
562	69	191	35	79	y
563	72	218	35	88	n
564	70	163	29	80	n
565	69	197	43	85	y
566	69	173	27	88	y
567	69	187	33	85	y
568	69	167	46	81	n
569	70	178	42	87	n
570	70	162	31	56	n
571	69	174	38	84	y
572	71	197	35	76	y
573	73	156	43	54	n
574	69	142	36	66	y
575	67	174	40	83	y
576	71	184	31	80	y
577	69	167	26	66	n
578	70	185	32	76	y
579	66	164	35	65	n
580	69	188	32	69	n
581	71	206	38	60	n
582	69	192	48	81	y
583	69	169	31	87	y
584	71	157	52	49	n
585	70	188	37	65	n
586	69	143	29	68	n
587	70	181	44	66	y
588	66	175	24	70	y
589	69	198	41	79	y
590	69	196	35	91	y
591	69	182	33	66	n
592	65	191	37	85	y
593	71	166	41	77	y
594	72	160	39	66	n
595	69	166	37	45	n
596	69	193	35	55	n
597	67	194	33	82	y
598	70	156	35	61	n
599	69	195	37	72	y
600	70	165	29	57	n
601	72	190	35	102	y
602	69	144	38	54	n
603	69	180	31	86	y
604	67	166	31	81	y
605	70	164	24	63	n
606	68	192	39	98	y
607	71	209	26	83	y
608	70	147	34	71	n
609	69	191	38	73	y
610	69	162	39	63	n
611	67	174	24	58	n
612	69	152	26	56	y
613	66	218	33	77	y
614	69	167	21	76	n
615	69	154	35	58	n
616	69	202	37	90	y
617	68	201	42	86	y
618	71	175	41	58	n
619	70	182	32	78	y
620	68	210	37	72	y
621	71	172	33	48	n
622	69	186	34	89	y
623	66	189	37	81	y
624	69	177	31	95	y
625	68	157	31	76	n
626	73	186	34	76	y
627	67	161	33	69	n
628	69	213	39	80	y
629	70	194	29	84	y
630	67	169	35	56	n
631	71	168	29	74	n
632	67	173	37	62	n
633	71	177	36	67	n
634	68	162	20	83	y
635	70	199	42	77	y
636	69	204	32	81	y
637	70	194	41	83	y
638	70	203	37	59	n
639	70	197	29	82	y
640	71	171	44	65	n
641	64	196	35	78	y
642	66	166	37	86	y
643	69	197	32	83	y
644	69	174	43	88	y
645	69	220	48	83	y
646	73	164	37	72	y
647	72	197	40	76	y
648	69	221	35	72	n
649	69	179	29	77	y
650	72	180	39	90	n
651	69	199	26	77	y
652	67	158	27	76	n
653	70	168	38	91	y
654	70	190	44	82	y
655	69	203	51	87	y
656	70	177	35	62	n
657	66	151	42	72	n
658	67	178	35	77	n
659	72	191	28	81	y
660	69	164	39	61	n
661	68	203	47	88	y
662	70	201	21	63	n
663	67	168	40	72	y
664	68	176	33	71	n
665	67	166	32	52	n
666	69	169	23	60	n
667	69	208	37	80	y
668	68	213	42	57	n
669	68	173	33	53	n
670	70	166	40	59	n
671	71	141	35	61	n
672	70	218	38	84	y
673	69	190	30	78	y
674	70	170	39	63	n
675	71	170	43	84	y
676	69	172	35	74	n
677	69	175	34	52	n
678	69	170	35	69	n
679	69	163	27	79	n
680	69	177	22	83	y
681	69	186	42	69	n
682	69	157	33	50	n
683	70	186	32	80	y
684	69	188	35	62	n
685	69	160	45	83	y
686	68	170	35	65	n
687	69	177	32	73	n
688	71	157	34	61	n
689	69	189	36	79	n
690	67	170	33	61	n
691	69	138	32	63	n
692	69	192	26	93	y
693	70	201	31	91	n
694	69	175	39	62	n
695	70	175	44	53	n
696	69	180	22	81	y
697	69	166	29	65	n
698	70	165	45	59	n
699	69	149	29	81	y
700	69	170	36	81	y
701	69	198	36	66	y
702	69	207	27	93	y
703	69	173	34	75	y
704	67	162	30	60	n
705	69	177	34	76	y
706	70	128	36	64	n
707	68	176	37	83	y
708	68	176	40	85	y
709	66	201	40	99	y
710	68	213	29	87	y
711	68	178	35	60	n
712	67	186	44	84	y
713	68	188	33	64	n
714	69	175	35	74	y
715	68	176	27	59	n
716	69	205	38	83	y
717	69	192	33	70	n
718	71	180	23	61	n
719	69	199	28	87	y
720	68	178	41	65	n
721	70	187	34	102	y
722	68	187	45	68	n
723	69	200	37	93	y
724	71	198	33	69	n
725	70	140	32	63	n
726	70	189	28	78	y
727	69	184	35	83	y
728	70	177	30	87	y
729	70	221	38	90	y
730	69	190	41	96	n
731	67	176	29	73	n
732	69	172	33	65	n
733	69	199	35	76	y
734	69	183	33	79	y
735	72	147	35	71	n
736	73	178	39	91	y
737	68	184	40	65	y
738	69	166	14	107	n
739	71	241	31	70	y
740	70	167	35	58	n
741	68	186	36	55	n
742	71	156	40	58	n
743	72	151	31	75	n
744	68	190	33	81	y
745	70	184	27	55	n
746	68	199	37	78	y
747	66	190	27	75	y
748	69	181	36	85	y
749	72	172	37	68	n
750	69	190	37	92	y
751	72	189	29	74	y
752	67	201	34	79	y
753	66	163	28	62	n
754	70	213	28	88	y
755	67	202	33	75	y
756	69	184	45	95	y
757	68	153	32	49	n
758	73	171	27	54	n
759	72	208	32	92	y
760	69	162	33	65	n
761	70	194	35	79	y
762	68	205	36	83	y
763	72	194	34	85	y
764	74	195	32	79	y
765	68	189	28	67	n
766	69	156	39	73	n
767	68	176	35	60	n
768	68	154	31	54	n
769	69	166	41	79	n
770	67	193	39	91	y
771	68	216	34	83	y
772	70	201	31	69	y
773	69	174	45	66	n
774	73	192	35	79	y
775	68	177	34	89	y
776	69	191	39	93	y
777	65	192	37	66	y
778	70	185	33	85	y
779	69	192	43	81	y
780	68	198	41	81	y
781	68	170	35	50	n
782	69	163	27	60	y
783	70	163	33	81	n
784	69	214	31	83	y
785	69	161	30	82	y
786	68	164	38	73	n
787	69	151	41	73	n
788	71	170	36	63	n
789	71	171	29	65	n
790	69	192	31	82	y
791	71	191	38	86	y
792	69	174	29	66	n
793	70	185	38	89	y
794	69	194	40	61	n
795	68	153	47	68	n
796	72	163	30	59	n
797	66	197	37	85	y
798	70	178	30	81	y
799	72	158	44	67	n
800	69	153	40	65	n
801	69	176	24	64	n
802	71	178	32	76	n
803	72	173	35	57	n
804	68	190	35	85	y
805	69	201	39	85	y
806	69	213	35	68	y
807	68	187	50	69	n
808	70	163	40	63	n
809	69	166	31	55	n
810	69	190	27	79	y
811	68	173	34	56	n
812	66	151	38	66	n
813	72	162	31	62	n
814	72	168	35	65	n
815	69	207	34	86	y
816	69	174	36	85	y
817	69	147	34	54	y
818	69	187	40	85	y
819	67	184	31	77	y
820	66	214	30	89	y
821	68	166	35	82	y
822	71	174	34	72	n
823	72	145	37	70	n
824	70	180	42	85	y
825	69	189	31	78	y
826	69	221	32	69	y
827	72	188	39	58	n
828	69	201	26	78	y
829	68	192	35	82	y
830	67	144	44	48	n
831	71	205	32	80	y
832	69	156	41	55	n
833	69	199	35	81	y
834	69	158	28	67	n
835	68	170	19	81	y
836	69	211	39	82	y
837	69	190	25	85	y
838	69	184	26	78	y
839	67	176	30	57	n
840	68	167	46	69	n
841	70	191	42	67	y
842	69	192	35	70	n
843	70	164	45	85	y
844	69	206	30	76	y
845	70	172	36	101	y
846	69	164	39	67	y
847	69	172	36	68	n
848	69	196	45	83	y
849	68	182	30	74	y
850	68	193	35	48	n
851	68	173	54	53	n
852	68	184	32	59	n
853	69	156	26	60	n
854	67	195	35	94	n
855	74	198	33	97	y
856	70	170	35	77	n
857	70	191	39	82	y
858	68	165	31	64	n
859	68	190	38	69	y
860	68	166	37	68	n
861	70	198	39	67	n
862	68	210	36	84	y
863	68	174	24	65	n
864	68	168	39	80	n
865	68	158	43	75	n
866	71	196	36	75	y
867	65	160	37	72	n
868	70	186	25	90	y
869	69	157	35	65	n
870	69	187	40	74	y
871	69	164	35	65	n
872	70	172	39	65	n
873	67	188	45	82	y
874	70	200	36	50	n
875	69	183	28	65	n
876	66	157	24	76	n
877	68	181	35	63	n
878	66	166	44	85	y
879	70	171	29	53	n
880	69	155	32	75	n
881	70	172	38	67	n
882	71	169	40	59	n
883	71	191	26	82	y
884	70	189	35	95	y
885	68	200	41	94	y
886	69	167	34	69	n
887	68	189	21	75	y
888	69	177	40	82	y
889	69	194	39	94	y
890	62	172	31	110	y
891	74	141	40	65	n
892	64	184	40	89	y
893	70	171	34	59	n
894	72	190	30	86	y
895	69	168	34	73	n
896	68	189	35	57	n
897	69	173	30	80	n
898	69	201	27	86	y
899	70	194	33	74	y
900	70	203	27	85	y
901	69	211	33	79	y
902	69	195	35	78	y
903	70	175	35	81	y
904	73	180	26	85	y
905	65	163	45	49	n
906	70	172	43	65	n
907	71	145	32	73	n
908	67	212	25	97	y
909	68	169	32	72	n
910	68	201	36	94	y
911	71	193	38	82	n
912	69	146	31	53	n
913	69	220	28	85	y
914	69	153	40	65	n
915	67	183	30	57	n
916	69	183	37	65	n
917	71	153	36	69	n
918	68	184	40	99	n
919	67	156	36	78	n
920	68	224	23	85	n
921	71	175	36	59	n
922	68	170	37	66	y
923	72	175	34	81	y
924	70	157	39	63	n
925	69	195	31	75	y
926	68	154	30	71	n
927	72	180	39	93	y
928	69	183	36	63	n
929	70	191	26	73	n
930	74	174	35	65	n
931	69	165	40	65	n
932	70	149	34	59	n
933	72	203	31	84	y
934	69	169	26	85	y
935	67	168	35	69	n
936	70	208	32	85	y
937	69	182	40	65	n
938	69	177	35	65	n
939	70	170	35	65	n
940	67	193	37	55	n
941	70	196	43	107	y
942	65	175	31	65	n
943	67	180	35	66	n
944	69	178	35	59	n
945	74	159	26	68	n
946	71	172	40	56	n
947	68	155	39	65	n
948	69	155	37	50	n
949	65	173	22	60	n
950	71	180	45	81	y
951	70	191	35	83	y
952	68	179	39	65	n
953	70	184	39	70	n
954	68	200	35	94	y
955	67	179	28	65	n
956	69	197	39	78	y
957	70	162	36	65	n
958	73	172	27	67	n
959	72	190	30	81	y
960	69	195	36	94	y
961	69	153	38	68	n
962	69	165	31	65	n
963	70	174	37	87	y
964	70	190	26	81	y
965	65	169	31	87	y
966	71	179	31	91	y
967	70	191	37	74	y
968	68	158	32	83	y
969	69	167	35	65	n
970	68	170	39	74	n
971	70	147	36	62	n
972	68	199	49	93	y
973	69	195	35	99	y
974	65	171	28	91	y
975	66	160	34	63	n
976	68	207	34	85	y
977	69	191	34	75	y
978	70	186	32	68	n
979	72	199	29	69	n
980	68	171	36	55	n
981	69	216	32	97	y
982	68	158	36	62	n
983	72	212	34	82	y
984	70	158	34	103	y
985	69	193	35	89	y
986	70	183	34	92	y
987	71	170	24	65	n
988	69	154	35	66	n
989	69	163	40	66	n
990	69	147	41	76	n
991	68	173	34	75	n
992	69	190	31	86	y
993	71	176	37	82	y
994	67	203	34	92	n
995	68	184	37	89	y
996	67	178	28	82	y
997	67	202	37	70	y
998	69	169	43	57	n
999	67	170	36	88	y
1000	69	171	35	60	n
1001	71	191	37	80	y
1002	69	164	32	75	y
1003	66	168	22	61	n
1004	69	201	39	63	n
1005	66	173	35	59	n
1006	70	170	31	75	n
1007	69	160	33	87	n
1008	69	179	38	66	y
1009	70	236	27	90	y
1010	70	201	35	81	n
1011	66	200	35	83	y
1012	70	171	34	91	y
1013	71	167	41	87	y
1014	71	208	35	85	y
1015	70	184	48	85	y
1016	69	217	35	84	y
1017	68	180	34	64	n
1018	71	180	35	64	n
1019	68	206	40	86	y
1020	67	181	31	91	y
1021	67	188	37	88	y
1022	69	216	41	93	y
1023	69	186	32	84	n
1024	69	190	35	86	n
1025	66	177	35	58	n
1026	69	185	43	68	n
1027	66	236	41	91	y
1028	69	198	44	80	y
1029	69	175	43	86	y
1030	71	175	28	62	n
1031	68	195	31	85	y
1032	70	185	41	86	y
1033	69	163	34	58	n
1034	71	168	19	72	n
1035	72	194	43	64	n
1036	69	197	34	60	n
1037	68	174	45	85	y
1038	68	195	47	85	y
1039	69	190	38	84	y
1040	70	221	25	91	y
1041	67	158	38	75	n
1042	69	183	28	81	y
1043	68	136	31	62	n
1044	69	198	38	77	y
1045	70	180	43	89	y
1046	69	175	37	74	n
1047	75	188	33	91	y
1048	71	153	29	42	n
1049	67	161	33	72	n
1050	69	204	37	74	y
1051	71	155	35	70	n
1052	72	170	46	61	n
1053	71	210	41	81	n
1054	68	175	40	80	y
1055	69	197	34	82	y
1056	69	179	35	71	n
1057	67	165	34	75	n
1058	67	211	28	93	y
1059	72	196	37	93	y
1060	70	161	37	65	n
1061	69	184	32	79	y
1062	68	160	48	83	y
1063	68	208	29	78	y
1064	69	182	30	89	y
1065	69	188	46	68	y
1066	70	193	29	63	n
1067	68	172	32	72	n
1068	71	188	35	73	y
1069	70	194	37	90	y
1070	71	193	45	82	y
1071	69	173	38	64	n
1072	69	196	43	89	y
1073	69	179	35	87	y
1074	69	186	33	85	y
1075	69	186	40	67	n
1076	68	170	43	60	n
1077	69	170	42	58	n
1078	69	180	35	95	y
1079	66	163	38	65	n
1080	69	191	35	82	y
1081	71	201	37	84	n
1082	71	185	24	78	y
1083	70	189	34	87	y
1084	70	170	43	54	n
1085	71	209	30	73	y
1086	68	201	32	76	y
1087	65	168	39	72	n
1088	69	200	40	94	y
1089	69	176	28	57	n
1090	69	153	44	57	n
1091	69	187	31	97	y
1092	70	183	38	87	y
1093	69	191	35	60	n
1094	67	189	38	65	n
1095	68	190	36	93	y
1096	69	170	32	75	n
1097	68	194	26	93	y
1098	67	220	30	82	y
1099	70	176	42	69	n
1100	71	202	40	88	y
1101	67	179	33	84	y
1102	69	151	34	68	n
1103	69	162	27	85	n
1104	69	183	34	83	y
1105	69	186	35	85	y
1106	68	178	33	82	y
1107	70	163	42	72	n
1108	68	150	25	77	n
1109	72	169	36	73	n
1110	69	194	30	65	n
1111	71	187	32	87	y
1112	71	187	34	82	y
1113	69	201	33	78	y
1114	67	197	23	87	n
1115	69	170	40	59	n
1116	70	168	27	67	n
1117	70	169	40	52	n
1118	67	163	38	59	n
1119	68	168	40	58	n
1120	69	202	31	75	y
1121	70	183	43	69	n
1122	70	190	40	52	n
1123	71	190	36	84	y
1124	68	169	39	67	n
1125	68	206	50	91	y
1126	69	194	51	92	y
1127	69	186	39	87	y
1128	69	197	33	99	y
1129	69	194	39	83	n
1130	66	165	38	50	n
1131	71	154	45	67	n
1132	70	178	35	56	n
1133	68	185	35	55	y
1134	72	174	39	63	n
1135	69	149	29	49	n
1136	69	198	39	81	y
1137	69	177	40	90	y
1138	69	198	36	77	y
1139	71	145	41	56	n
1140	67	169	35	84	y
1141	68	196	39	89	y
1142	73	212	30	84	y
1143	69	152	30	70	n
1144	70	194	32	87	y
1145	72	153	38	66	n
1146	68	161	35	97	y
1147	64	167	38	61	n
1148	73	175	45	64	n
1149	69	196	35	102	y
1150	69	158	44	65	n
1151	68	148	39	48	n
